t,accel_cmd,steer_cmd,x,y,theta,v,delta,a
0,2,0,0,0,0,0,0,0
0.05,2,0,0,0,0,0.02,0,0.4
0.1,2,0,0.001,0,0,0.06,0,0.8
0.15,2,0,0.004,0,0,0.12,0,1.2
0.2,2,0,0.01,0,0,0.2,0,1.6
0.25,2,0,0.02,0,0,0.3,0,2
0.3,2,0,0.035,0,0,0.4,0,2
0.35,2,0,0.055,0,0,0.5,0,2
0.4,2,0,0.08,0,0,0.6,0,2
0.45,2,0,0.11,0,0,0.7,0,2
0.5,2,0,0.145,0,0,0.8,0,2
0.55,2,0,0.185,0,0,0.9,0,2
0.6,2,0,0.23,0,0,1,0,2
0.65,2,0,0.28,0,0,1.1,0,2
0.7,2,0,0.335,0,0,1.2,0,2
0.75,2,0,0.395,0,0,1.3,0,2
0.8,2,0,0.46,0,0,1.4,0,2
0.85,2,0,0.53,0,0,1.5,0,2
0.9,2,0,0.605,0,0,1.6,0,2
0.95,2,0,0.685,0,0,1.7,0,2
1,2,0,0.77,0,0,1.8,0,2
1.05,2,0,0.86,0,0,1.9,0,2
1.1,2,0,0.955,0,0,2,0,2
1.15,2,0,1.055,0,0,2.1,0,2
1.2,2,0,1.16,0,0,2.2,0,2
1.25,2,0,1.27,0,0,2.3,0,2
1.3,2,0,1.385,0,0,2.4,0,2
1.35,2,0,1.505,0,0,2.5,0,2
1.4,2,0,1.63,0,0,2.6,0,2
1.45,2,0,1.76,0,0,2.7,0,2
1.5,2,0,1.895,0,0,2.8,0,2
1.55,2,0,2.035,0,0,2.9,0,2
1.6,2,0,2.18,0,0,3,0,2
1.65,2,0,2.33,0,0,3.1,0,2
1.7,2,0,2.485,0,0,3.2,0,2
1.75,2,0,2.645,0,0,3.3,0,2
1.8,2,0,2.81,0,0,3.4,0,2
1.85,2,0,2.98,0,0,3.5,0,2
1.9,2,0,3.155,0,0,3.6,0,2
1.95,2,0,3.335,0,0,3.7,0,2
2,2,0,3.52,0,0,3.8,0,2
2.05,2,0,3.71,0,0,3.9,0,2
2.1,2,0,3.905,0,0,4,0,2
2.15,2,0,4.105,0,0,4.1,0,2
2.2,2,0,4.31,0,0,4.2,0,2
2.25,2,0,4.52,0,0,4.3,0,2
2.3,2,0,4.735,0,0,4.4,0,2
2.35,2,0,4.955,0,0,4.5,0,2
2.4,2,0,5.18,0,0,4.6,0,2
2.45,2,0,5.41,0,0,4.7,0,2
2.5,2,0,5.645,0,0,4.8,0,2
2.55,2,0,5.885,0,0,4.9,0,2
2.6,2,0,6.13,0,0,5,0,2
2.65,2,0,6.38,0,0,5.1,0,2
2.7,2,0,6.635,0,0,5.2,0,2
2.75,2,0,6.895,0,0,5.3,0,2
2.8,2,0,7.16,0,0,5.4,0,2
2.85,2,0,7.43,0,0,5.5,0,2
2.9,2,0,7.705,0,0,5.6,0,2
2.95,2,0,7.985,0,0,5.7,0,2
3,0.5,0.4,8.27,0,0,5.8,0,2
3.05,0.5,0.4,8.56,0,0.00174013051175,5.88,0.015,1.6
3.1,0.5,0.4,8.85399955488,0.000511598112262,0.00526918929291,5.94,0.03,1.2
3.15,0.5,0.4,9.15099543188,0.00207654009063,0.0106188007682,5.98,0.045,0.8
3.2,0.5,0.4,9.44997857458,0.005251501852,0.0178034243865,6.005,0.06,0.5
3.25,0.5,0.4,9.75018099193,0.010596697643,0.0268278515361,6.03,0.075,0.5
3.3,0.5,0.4,10.0515724986,0.0186843246435,0.0377112525992,6.055,0.09,0.5
3.35,0.5,0.4,10.3541072479,0.0300987004483,0.0504736890624,6.08,0.105,0.5
3.4,0.5,0.4,10.6577200959,0.0454361877072,0.0651361364673,6.105,0.12,0.5
3.45,0.5,0.4,10.9623227802,0.0653049368288,0.0817205091555,6.13,0.135,0.5
3.5,0.5,0.4,11.2677999092,0.0903244034989,0.100249686889,6.155,0.15,0.5
3.55,0.5,0.4,11.5740047602,0.121124593768,0.120747543438,6.18,0.165,0.5
3.6,0.5,0.4,11.8807548905,0.158344985246,0.143238977228,6.205,0.18,0.5
3.65,0.5,0.4,12.1878275662,0.202633068541,0.167749944161,6.23,0.195,0.5
3.7,0.5,0.4,12.4949550225,0.254642448588,0.194307492731,6.255,0.21,0.5
3.75,0.5,0.4,12.8018195738,0.315030440962,0.222939801544,6.28,0.225,0.5
3.8,0.5,0.4,13.1080486018,0.384455093881,0.253676219405,6.305,0.24,0.5
3.85,0.5,0.4,13.413209456,0.463571562376,0.28654730811,6.33,0.255,0.5
3.9,0.5,0.4,13.7168043162,0.553027757399,0.321584888112,6.355,0.27,0.5
3.95,0.5,0.4,14.0182650764,0.653459189545,0.358822087244,6.38,0.285,0.5
4,0.5,0.4,14.3169483245,0.765482924948,0.398293392694,6.405,0.3,0.5
4.05,0.5,0.4,14.6121305113,0.889690570119,0.440034706444,6.43,0.315,0.5
4.1,0.5,0.4,14.9030034181,1.02664020338,0.484083404408,6.455,0.33,0.5
4.15,0.5,0.4,15.188670057,1.17684717375,0.53047839953,6.48,0.345,0.5
4.2,0.5,0.4,15.4681411575,1.3407736939,0.579260209103,6.505,0.36,0.5
4.25,0.5,0.4,15.7403324238,1.51881716346,0.630471026631,6.53,0.375,0.5
4.3,0.5,0.4,16.0040627713,1.71129717229,0.684154798549,6.555,0.39,0.5
4.35,0.5,0.4,16.258053783,1.91844115226,0.739582989526,6.58,0.4,0.5
4.4,0.5,0.4,16.5011024276,2.14018054063,0.795222577112,6.605,0.4,0.5
4.45,0.5,0.4,16.7323189926,2.37598546552,0.851073561307,6.63,0.4,0.5
4.5,0.5,0.4,16.9508359096,2.62526965474,0.907135942112,6.655,0.4,0.5
4.55,0.5,0.4,17.1558113782,2.88739103838,0.963409719526,6.68,0.4,0.5
4.6,0.5,0.4,17.3464330085,3.16165258154,1.01989489355,6.705,0.4,0.5
4.65,0.5,0.4,17.5219214684,3.44730335251,1.07659146418,6.73,0.4,0.5
4.7,0.5,0.4,17.6815341208,3.74353983099,1.13349943142,6.755,0.4,0.5
4.75,0.5,0.4,17.8245686362,4.04950745985,1.19061879528,6.78,0.4,0.5
4.8,0.5,0.4,17.9503665633,4.36430244317,1.24794955574,6.805,0.4,0.5
4.85,0.5,0.4,18.0583168432,4.68697379234,1.30549171281,6.83,0.4,0.5
4.9,0.5,0.4,18.1478592485,5.01652562081,1.36324526649,6.855,0.4,0.5
4.95,0.5,0.4,18.218487732,5.35191968728,1.42121021678,6.88,0.4,0.5
5,0.5,0.4,18.2697536657,5.69207818568,1.47938656367,6.905,0.4,0.5
5.05,0.5,0.4,18.3012689547,6.03588677933,1.53777430718,6.93,0.4,0.5
5.1,0.5,0.4,18.3127090051,6.38219787538,1.5963734473,6.955,0.4,0.5
5.15,0.5,0.4,18.3038155312,6.72983413445,1.65518398403,6.98,0.4,0.5
5.2,0.5,0.4,18.2743991815,7.07759220894,1.71420591736,7.005,0.4,0.5
5.25,0.5,0.4,18.224341967,7.42424670231,1.77343924731,7.03,0.4,0.5
5.3,0.5,0.4,18.1535994735,7.76855434036,1.83288397386,7.055,0.4,0.5
5.35,0.5,0.4,18.0622028405,8.10925834381,1.89254009702,7.08,0.4,0.5
5.4,0.5,0.4,17.9502604896,8.44509299076,1.9524076168,7.105,0.4,0.5
5.45,0.5,0.4,17.8179595865,8.77478835551,2.01248653318,7.13,0.4,0.5
5.5,0.5,0.4,17.6655672185,9.09707520937,2.07277684617,7.155,0.4,0.5
5.55,0.5,0.4,17.4934312746,9.4106900676,2.13327855577,7.18,0.4,0.5
5.6,0.5,0.4,17.3019810116,9.71438036514,2.19399166199,7.205,0.4,0.5
5.65,0.5,0.4,17.0917272939,10.0069097426,2.25491616481,7.23,0.4,0.5
5.7,0.5,0.4,16.8632624923,10.2870634226,2.31605206424,7.255,0.4,0.5
5.75,0.5,0.4,16.6172600329,10.5536536559,2.37739936027,7.28,0.4,0.5
5.8,0.5,0.4,16.3544735829,10.8055252138,2.43895805292,7.305,0.4,0.5
5.85,0.5,0.4,16.0757358656,11.0415609049,2.50072814218,7.33,0.4,0.5
5.9,0.5,0.4,15.7819570977,11.2606870911,2.56270962805,7.355,0.4,0.5
5.95,0.5,0.4,15.4741230398,11.4618791767,2.62490251052,7.38,0.4,0.5
6,0,-0.4,15.1532926594,11.6441670453,2.68730678961,7.405,0.4,0.5
6.05,0,-0.4,14.8205954008,11.8066404174,2.74732017137,7.41,0.385,0.1
6.1,0,-0.4,14.478521541,11.9489630242,2.80480149192,7.41,0.37,0
6.15,0,-0.4,14.128836262,12.0713985406,2.85973999246,7.41,0.355,0
6.2,0,-0.4,13.7729555266,12.1744478112,2.91216379778,7.41,0.34,0
6.25,0,-0.4,13.412163944,12.2587074335,2.96209945524,7.41,0.325,0
